title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Xuyên Không Vào Thế Giới Nữ Cường,291,37374032,9616,101009,Comedy,Fantasy,Manhua,Ngôn Tình,,,,,,,,,,,,,
Tôi Đã Chuyển Sinh Thành Slime,93,37284415,19482,184487,Adventure,Chuyển Sinh,Comedy,Fantasy,Shounen,,,,,,,,,,,,
Lăng Thiên Thần Đế,261,37218523,4710,114612,Cổ Đại,Manhua,,,,,,,,,,,,,,,
"Thảnh Thơi Thú Thế Chủng Chủng Điền, Sinh Sinh Tể",3612,37046868,5564,109734,Comedy,Comic,Drama,Fantasy,Manhua,Ngôn Tình,Romance,,,,,,,,,,
Cái Thế Đế Tôn,257,36944396,2588,94698,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Siêu Năng Lập Phương,264,35651825,9844,113796,Manhua,Mystery,,,,,,,,,,,,,,,
Ma Cà Rồng Quý Tộc,544,35630882,1985,22149,Action,Adventure,Manhwa,,,,,,,,,,,,,,
Dị Tộc Trùng Sinh,224,35396294,16594,105493,Action,Manhua,Martial Arts,,,,,,,,,,,,,,
Vương Gia ! Không nên a !,3736,35365632,13502,34605,Historical,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Vua Trộm mộ,284,34949105,6272,97163,Adventure,Manhwa,,,,,,,,,,,,,,,
Thể Thao Cực Hạn,379,34603152,4719,79355,Action,Drama,Manhwa,Sports,,,,,,,,,,,,,
Tối Cường Thần Vương,241,34397667,2124,75073,Action,Manhua,Martial Arts,Mystery,Supernatural,,,,,,,,,,,,
Người Ở Rể Bị Ép Thành Phản Diện,285,34191339,9486,117306,Chuyển Sinh,Fantasy,Manhua,Supernatural,,,,,,,,,,,,,
Vợ tôi là quỷ vương,344,34026339,7481,79790,Adventure,Fantasy,Manhua,Romance,Webtoon,,,,,,,,,,,,
Đại Kiếm Thần,324,32868373,3523,38119,Adventure,Manhua,Martial Arts,Mystery,Supernatural,,,,,,,,,,,,
Trường Học Siêu Anh Hùng,345,32781991,7034,69758,Action,Adventure,Comedy,Shounen,Supernatural,,,,,,,,,,,,
Đô Thị Chí Tôn Hệ Thống,203,32713609,1643,59669,Action,Manhua,School Life,Supernatural,Webtoon,,,,,,,,,,,,
Ta có chín nữ đồ đệ,257,32482888,5471,110088,Adventure,Drama,Fantasy,Manhua,Webtoon,,,,,,,,,,,,
Tu Chân Nói Chuyện Phiếm Quần,399,32072947,7374,65850,Action,Adventure,Manhua,Mystery,Supernatural,,,,,,,,,,,,
Trùng Sinh Không Gian: Cô Vợ Hào Môn Nóng Bỏng Không Dễ Chọc,276,31758087,8982,156457,Chuyển Sinh,Drama,Manhua,Ngôn Tình,Supernatural,Xuyên Không,,,,,,,,,,,
Yêu Giả Vi Vương,309,31664375,5257,103622,Adventure,Manhua,Mystery,Supernatural,,,,,,,,,,,,,
Cửu Tinh Thiên Thần Quyết,292,31659162,2982,57052,Action,Manhwa,Mystery,Supernatural,,,,,,,,,,,,,
Vương Gia ! Ngươi Thật Bỉ Ổi !,503,31456090,30518,17035,Comedy,Manhua,Romance,Xuyên Không,,,,,,,,,,,,,
Thấu thị chi nhãn,316,31237601,1175,28245,Action,Manhua,,,,,,,,,,,,,,,
Ma Lạt Thiên Kim Đẩu Ác Thiếu,268,31092689,24660,42524,Comic,Drama,Manhua,Ngôn Tình,Romance,School Life,,,,,,,,,,,
Ta Làm Lớn Ở Hậu Cung,178,30986429,21860,75093,Comedy,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
Ngọt ngào uy vũ: Boss sủng đến nghiện,273,30572763,2178,46938,Comedy,Manhua,Ngôn Tình,Romance,Xuyên Không,,,,,,,,,,,,
Chỉ Nhiễm Thành Hôn,217,30336019,24549,27192,Comedy,Manhua,Romance,,,,,,,,,,,,,,
Tinh Mộng Thần Tượng,299,30298093,14030,49533,Drama,Manhua,Ngôn Tình,Romance,Shoujo,,,,,,,,,,,,
